date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:22:49	27917/27917	---MCZ	200	added ('OK')	text/html	date:Tue,%2028%20Jul%202020%2009:21:10%20GMT	http://dingleberry.me/tag/network/	./dingleberry/dingleberry.me/tag/network/index.html	(from http://dingleberry.me/)
11:22:49	24752/24752	---MCZ	200	added ('OK')	text/html	date:Tue,%2028%20Jul%202020%2009:21:11%20GMT	http://dingleberry.me/tag/ping/	./dingleberry/dingleberry.me/tag/ping/index.html	(from http://dingleberry.me/)
11:22:52	29079/29079	---M--	200	added ('OK')	image/png	etag:%2252ea59ff-7197%22	http://dingleberry.me/wp-content/plugins/sociable/images/sprites/option1_32.png	./dingleberry/dingleberry.me/wp-content/plugins/sociable/images/sprites/option1_32.png	(from http://dingleberry.me/wp-content/plugins/sociable/css/sociable.css?ver=3.8.1)
11:22:54	20768/20768	---MCZ	200	added ('OK')	text/html	date:Tue,%2028%20Jul%202020%2009:21:13%20GMT	http://dingleberry.me/tag/test/	./dingleberry/dingleberry.me/tag/test/index.html	(from http://dingleberry.me/)
11:22:54	28279/28279	---MCZ	200	added ('OK')	text/html	date:Tue,%2028%20Jul%202020%2009:21:13%20GMT	http://dingleberry.me/tag/apache/	./dingleberry/dingleberry.me/tag/apache/index.html	(from http://dingleberry.me/)
11:22:54	32383/32383	---MCZ	200	added ('OK')	text/html	date:Tue,%2028%20Jul%202020%2009:21:13%20GMT	http://dingleberry.me/tag/apple/	./dingleberry/dingleberry.me/tag/apple/index.html	(from http://dingleberry.me/)
11:22:54	12493/12493	---M--	200	added ('OK')	image/png	etag:%2252ea59ff-30cd%22	http://dingleberry.me/wp-content/plugins/sociable/images/sprites/option1_16.png	./dingleberry/dingleberry.me/wp-content/plugins/sociable/images/sprites/option1_16.png	(from http://dingleberry.me/wp-content/plugins/sociable/css/sociable.css?ver=3.8.1)
11:22:58	30892/30892	---MCZ	200	added ('OK')	text/html	date:Tue,%2028%20Jul%202020%2009:21:17%20GMT	http://dingleberry.me/tag/appletv/	./dingleberry/dingleberry.me/tag/appletv/index.html	(from http://dingleberry.me/)
11:22:58	30876/30876	---MCZ	200	added ('OK')	text/html	date:Tue,%2028%20Jul%202020%2009:21:18%20GMT	http://dingleberry.me/tag/atv/	./dingleberry/dingleberry.me/tag/atv/index.html	(from http://dingleberry.me/)
11:23:00	50232/50232	---M--	200	added ('OK')	image/png	etag:%2252ea59ff-c438%22	http://dingleberry.me/wp-content/plugins/sociable/images/sprites/option1_64.png	./dingleberry/dingleberry.me/wp-content/plugins/sociable/images/sprites/option1_64.png	(from http://dingleberry.me/wp-content/plugins/sociable/css/sociable.css?ver=3.8.1)
11:23:02	23477/23477	---MCZ	200	added ('OK')	text/html	date:Tue,%2028%20Jul%202020%2009:21:21%20GMT	http://dingleberry.me/tag/authentication/	./dingleberry/dingleberry.me/tag/authentication/index.html	(from http://dingleberry.me/)
11:23:04	44468/44468	---M--	200	added ('OK')	image/png	etag:%2252ea59ff-adb4%22	http://dingleberry.me/wp-content/plugins/sociable/images/sprites/option1_48.png	./dingleberry/dingleberry.me/wp-content/plugins/sociable/images/sprites/option1_48.png	(from http://dingleberry.me/wp-content/plugins/sociable/css/sociable.css?ver=3.8.1)
11:23:05	17002/17002	---M--	200	added ('OK')	image/png	etag:%2252ea59ff-426a%22	http://dingleberry.me/wp-content/plugins/sociable/images/sprites/option2_16.png	./dingleberry/dingleberry.me/wp-content/plugins/sociable/images/sprites/option2_16.png	(from http://dingleberry.me/wp-content/plugins/sociable/css/sociable.css?ver=3.8.1)
